seed,item,m,U,E_netted,se_slope_netted,E_raw,depth_netted_last,net_max_over_min,raw_max_over_min,first_chunk,last_chunk
1,9,22,0,1.621450e-08,1.073802e-09,2.603050e-02,0.858223,1.000000684,3.004167,4,46
1,10,22,0,1.615681e-08,1.081062e-09,2.603050e-02,0.803508,1.000000757,3.004168,4,46
1,12,22,0,1.656302e-08,1.036796e-09,2.603050e-02,0.823042,1.000000712,3.004168,4,46
1,13,22,0,1.760186e-08,8.966975e-10,2.603050e-02,0.867742,1.000000727,3.004168,4,46
1,14,22,0,1.702486e-08,1.133642e-09,2.603050e-02,0.938103,1.000000698,3.004167,4,46
1,15,21,0,1.731402e-08,1.319969e-09,2.531169e-02,0.827657,1.000000678,2.664457,6,46
1,16,21,0,1.736698e-08,9.768272e-10,2.531169e-02,0.998386,1.000000657,2.664457,6,46
1,17,21,33,1.865595e-08,1.115863e-09,2.531170e-02,1.189498,1.000000754,2.664457,6,46
1,18,21,0,1.760385e-08,1.103263e-09,2.531170e-02,1.194015,1.000000702,2.664457,6,46
1,19,21,0,1.677894e-08,1.048488e-09,2.531170e-02,1.655833,1.000000655,2.664457,6,46
1,20,21,56,1.769991e-08,1.103204e-09,2.531170e-02,2.031625,1.000000645,2.664457,6,46
1,21,20,0,1.730410e-08,1.120716e-09,2.490226e-02,1.751035,1.000000642,2.459604,8,46
1,24,20,0,1.681045e-08,1.039961e-09,2.490226e-02,2.330432,1.000000631,2.459604,8,46
1,25,20,0,1.740110e-08,1.103568e-09,2.490226e-02,1.800138,1.000000605,2.459604,8,46
1,26,20,43,1.703652e-08,1.058372e-09,2.490226e-02,2.410955,1.000000635,2.459604,8,46
1,28,19,0,1.774484e-08,1.185354e-09,2.461404e-02,2.843547,1.000000611,2.316368,10,46
1,31,19,0,1.812507e-08,1.102601e-09,2.461404e-02,1.915518,1.000000627,2.316368,10,46
1,32,19,61,1.509820e-08,1.063176e-09,2.229825e-02,2.515015,1.000000552,2.181473,10,46
1,33,18,0,1.747272e-08,1.216965e-09,2.432405e-02,1.862512,1.000000589,2.181473,12,46
1,34,18,19,1.633206e-08,1.405353e-09,2.432405e-02,2.852528,1.000000540,2.181473,12,46
1,35,18,166,1.771481e-08,1.215812e-09,2.366358e-02,3.665140,1.000000542,2.095936,12,46
1,40,17,40,1.812709e-08,1.659628e-09,2.404413e-02,2.671896,1.000000541,2.095936,14,46
1,41,17,323,8.261175e-09,1.585043e-09,1.703432e-02,3.477276,1.000000317,1.750673,14,46
1,45,16,0,1.852254e-08,1.541161e-09,2.354413e-02,3.579071,1.000000585,1.934793,16,46
1,47,16,241,1.127817e-08,1.151770e-09,1.857354e-02,3.899139,1.000000337,1.648722,16,46
1,49,16,0,1.653182e-08,1.904932e-09,2.354413e-02,2.913117,1.000000522,1.934793,16,46
1,50,16,0,1.733679e-08,2.167666e-09,2.354413e-02,3.915648,1.000000536,1.934793,16,46
